Experiment,Feature-Set,Model,Test-Day,Train-Rows,Test-Rows,Accuracy,Precision,Recall,F1
Multi-Day-Attack-Type-Sampling,All-Features,Logistic-Regression,Friday,107650,703245,74.3599,81.6788,48.4617,60.8311
Multi-Day-Attack-Type-Sampling,All-Features,Random-Forest,Friday,107650,703245,70.207,97.3297,28.2584,43.8
Multi-Day-Attack-Type-Sampling,Reduced-Features,Logistic-Regression,Friday,107650,703245,74.3619,81.6817,48.4652,60.8346
Multi-Day-Attack-Type-Sampling,Reduced-Features,Random-Forest,Friday,107650,703245,70.211,97.2844,28.2823,43.8241
Multi-Day-Attack-Type-Sampling,All-Features,Logistic-Regression,Monday,149616,529918,89.2466,0.0,0.0,0.0
Multi-Day-Attack-Type-Sampling,All-Features,Random-Forest,Monday,149616,529918,99.7173,0.0,0.0,0.0
Multi-Day-Attack-Type-Sampling,Reduced-Features,Logistic-Regression,Monday,149616,529918,89.2453,0.0,0.0,0.0
Multi-Day-Attack-Type-Sampling,Reduced-Features,Random-Forest,Monday,149616,529918,99.7741,0.0,0.0,0.0
Multi-Day-Attack-Type-Sampling,All-Features,Logistic-Regression,Thursday,147400,458968,76.4979,0.1745,8.3484,0.3418
Multi-Day-Attack-Type-Sampling,All-Features,Random-Forest,Thursday,147400,458968,92.45,0.3247,4.7834,0.6081
Multi-Day-Attack-Type-Sampling,Reduced-Features,Logistic-Regression,Thursday,147400,458968,76.5029,0.1745,8.3484,0.3419
Multi-Day-Attack-Type-Sampling,Reduced-Features,Random-Forest,Thursday,147400,458968,93.6102,0.3407,4.1968,0.6302
Multi-Day-Attack-Type-Sampling,All-Features,Logistic-Regression,Tuesday,135781,445909,89.5245,9.8407,29.1146,14.7096
Multi-Day-Attack-Type-Sampling,All-Features,Random-Forest,Tuesday,135781,445909,96.5,0.2806,0.0361,0.064
Multi-Day-Attack-Type-Sampling,Reduced-Features,Logistic-Regression,Tuesday,135781,445909,89.5322,9.8489,29.1146,14.7187
Multi-Day-Attack-Type-Sampling,Reduced-Features,Random-Forest,Tuesday,135781,445909,95.7747,0.514,0.1879,0.2752
Multi-Day-Attack-Type-Sampling,All-Features,Logistic-Regression,Wednesday,108017,692703,82.8863,84.0338,65.534,73.6398
Multi-Day-Attack-Type-Sampling,All-Features,Random-Forest,Wednesday,108017,692703,63.926,95.4338,1.158,2.2883
Multi-Day-Attack-Type-Sampling,Reduced-Features,Logistic-Regression,Wednesday,108017,692703,82.8254,83.9219,65.456,73.5476
Multi-Day-Attack-Type-Sampling,Reduced-Features,Random-Forest,Wednesday,108017,692703,64.0651,96.5492,1.5391,3.03
