Experiment,Feature-Set,Model,Test-Day,Attack-Type,Attack-Rows,Train-Rows,Test-Rows,Precision,Recall,F1
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Friday,BOT,1966,252620,416288,0.182,1.4242,0.3228
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Friday,DDOS,128027,252620,542349,89.281,99.8969,94.2911
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Friday,PORTSCAN,158930,252620,573252,1.4188,0.1391,0.2533
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Friday,BOT,1966,252620,416288,0.0,0.0,0.0
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Friday,DDOS,128027,252620,542349,98.405,63.5124,77.1991
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Friday,PORTSCAN,158930,252620,573252,10.9459,0.1019,0.202
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Friday,BOT,1966,252620,416288,0.1891,1.5259,0.3365
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Friday,DDOS,128027,252620,542349,88.9816,99.8969,94.1238
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Friday,PORTSCAN,158930,252620,573252,1.3947,0.1409,0.256
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Friday,BOT,1966,252620,416288,0.0,0.0,0.0
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Friday,DDOS,128027,252620,542349,98.7792,63.5155,77.3163
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Friday,PORTSCAN,158930,252620,573252,13.8817,0.1019,0.2024
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Thursday,INFILTRATION,36,468368,456788,0.0033,8.3333,0.0066
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Thursday,WEB ATTACK - BRUTE FORCE,1507,468368,458259,0.0011,0.0664,0.0022
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Thursday,WEB ATTACK - SQL INJECTION,21,468368,456773,0.0011,4.7619,0.0022
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Thursday,WEB ATTACK - XSS,652,468368,457404,0.0219,3.0675,0.0435
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Thursday,INFILTRATION,36,468368,456788,0.0,0.0,0.0
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Thursday,WEB ATTACK - BRUTE FORCE,1507,468368,458259,0.0,0.0,0.0
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Thursday,WEB ATTACK - SQL INJECTION,21,468368,456773,0.1135,9.5238,0.2243
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Thursday,WEB ATTACK - XSS,652,468368,457404,0.9567,2.6074,1.3998
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Thursday,INFILTRATION,36,468368,456788,0.0033,8.3333,0.0065
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Thursday,WEB ATTACK - BRUTE FORCE,1507,468368,458259,0.0011,0.0664,0.0021
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Thursday,WEB ATTACK - SQL INJECTION,21,468368,456773,0.0011,4.7619,0.0022
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Thursday,WEB ATTACK - XSS,652,468368,457404,0.0218,3.0675,0.0433
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Thursday,INFILTRATION,36,468368,456788,0.0,0.0,0.0
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Thursday,WEB ATTACK - BRUTE FORCE,1507,468368,458259,0.0,0.0,0.0
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Thursday,WEB ATTACK - SQL INJECTION,21,468368,456773,0.1106,9.5238,0.2187
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Thursday,WEB ATTACK - XSS,652,468368,457404,0.9325,2.6074,1.3737
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Tuesday,FTP-PATATOR,7938,456056,440012,10.4594,50.189,17.3112
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Tuesday,SSH-PATATOR,5897,456056,437971,0.082,0.4748,0.1399
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Tuesday,FTP-PATATOR,7938,456056,440012,0.0512,0.0126,0.0202
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Tuesday,SSH-PATATOR,5897,456056,437971,0.3575,0.1187,0.1782
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Tuesday,FTP-PATATOR,7938,456056,440012,10.5019,50.189,17.3693
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Tuesday,SSH-PATATOR,5897,456056,437971,0.0824,0.4748,0.1404
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Tuesday,FTP-PATATOR,7938,456056,440012,0.0226,0.0126,0.0162
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Tuesday,SSH-PATATOR,5897,456056,437971,0.2027,0.1526,0.1741
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Wednesday,DOS GOLDENEYE,10293,285284,450324,28.6001,48.4504,35.9683
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Wednesday,DOS HULK,231073,285284,671104,89.5064,45.9569,60.7314
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Wednesday,DOS SLOWHTTPTEST,5499,285284,445530,2.2533,5.2191,3.1476
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Wednesday,DOS SLOWLORIS,5796,285284,445827,5.5315,12.5776,7.6838
Multi-Day-Held-Out-Day,All-Features,Logistic-Regression,Wednesday,HEARTBLEED,11,285284,440042,0.0722,81.8182,0.1443
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Wednesday,DOS GOLDENEYE,10293,285284,450324,0.0,0.0,0.0
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Wednesday,DOS HULK,231073,285284,671104,98.7897,0.8478,1.6811
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Wednesday,DOS SLOWHTTPTEST,5499,285284,445530,7.6923,0.0364,0.0724
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Wednesday,DOS SLOWLORIS,5796,285284,445827,7.6923,0.0345,0.0687
Multi-Day-Held-Out-Day,All-Features,Random-Forest,Wednesday,HEARTBLEED,11,285284,440042,0.0,0.0,0.0
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Wednesday,DOS GOLDENEYE,10293,285284,450324,28.5549,47.9744,35.8008
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Wednesday,DOS HULK,231073,285284,671104,89.4971,45.5609,60.3825
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Wednesday,DOS SLOWHTTPTEST,5499,285284,445530,2.4015,5.5283,3.3484
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Wednesday,DOS SLOWLORIS,5796,285284,445827,16.0324,40.7005,23.0034
Multi-Day-Held-Out-Day,Reduced-Features,Logistic-Regression,Wednesday,HEARTBLEED,11,285284,440042,0.0728,81.8182,0.1455
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Wednesday,DOS GOLDENEYE,10293,285284,450324,0.0,0.0,0.0
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Wednesday,DOS HULK,231073,285284,671104,99.1736,0.8828,1.7501
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Wednesday,DOS SLOWHTTPTEST,5499,285284,445530,56.4103,0.4001,0.7945
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Wednesday,DOS SLOWLORIS,5796,285284,445827,10.5263,0.0345,0.0688
Multi-Day-Held-Out-Day,Reduced-Features,Random-Forest,Wednesday,HEARTBLEED,11,285284,440042,0.0,0.0,0.0
