Experiment,Feature-Set,Model,Train-Day,Test-Day,Attack-Type,Attack-Rows,Train-Rows,Test-Rows,Precision,Recall,F1
Single-Day-Transfer,All-features,Logistic-Regression,Friday,Thursday,INFILTRATION,36,500000,456788,0.0019,2.7778,0.0038
Single-Day-Transfer,All-features,Logistic-Regression,Friday,Thursday,WEB ATTACK - BRUTE FORCE,1507,500000,458259,0.0,0.0,0.0
Single-Day-Transfer,All-features,Logistic-Regression,Friday,Thursday,WEB ATTACK - SQL INJECTION,21,500000,456773,0.0,0.0,0.0
Single-Day-Transfer,All-features,Logistic-Regression,Friday,Thursday,WEB ATTACK - XSS,652,500000,457404,0.0,0.0,0.0
Single-Day-Transfer,All-features,Random-Forest,Friday,Thursday,INFILTRATION,36,500000,456788,0.0,0.0,0.0
Single-Day-Transfer,All-features,Random-Forest,Friday,Thursday,WEB ATTACK - BRUTE FORCE,1507,500000,458259,0.0,0.0,0.0
Single-Day-Transfer,All-features,Random-Forest,Friday,Thursday,WEB ATTACK - SQL INJECTION,21,500000,456773,0.0,0.0,0.0
Single-Day-Transfer,All-features,Random-Forest,Friday,Thursday,WEB ATTACK - XSS,652,500000,457404,0.0,0.0,0.0
Single-Day-Transfer,All-features,Logistic-Regression,Friday,Tuesday,FTP-PATATOR,7938,500000,440012,0.0,0.0,0.0
Single-Day-Transfer,All-features,Logistic-Regression,Friday,Tuesday,SSH-PATATOR,5897,500000,437971,0.3789,0.3222,0.3483
Single-Day-Transfer,All-features,Random-Forest,Friday,Tuesday,FTP-PATATOR,7938,500000,440012,0.0,0.0,0.0
Single-Day-Transfer,All-features,Random-Forest,Friday,Tuesday,SSH-PATATOR,5897,500000,437971,0.0,0.0,0.0
Single-Day-Transfer,All-features,Logistic-Regression,Friday,Wednesday,DOS GOLDENEYE,10293,500000,450324,41.4015,31.2251,35.6004
Single-Day-Transfer,All-features,Logistic-Regression,Friday,Wednesday,DOS HULK,231073,500000,671104,94.5897,34.4181,50.4714
Single-Day-Transfer,All-features,Logistic-Regression,Friday,Wednesday,DOS SLOWHTTPTEST,5499,500000,445530,0.4159,0.3455,0.3775
Single-Day-Transfer,All-features,Logistic-Regression,Friday,Wednesday,DOS SLOWLORIS,5796,500000,445827,26.4035,28.1573,27.2522
Single-Day-Transfer,All-features,Logistic-Regression,Friday,Wednesday,HEARTBLEED,11,500000,440042,0.0,0.0,0.0
Single-Day-Transfer,All-features,Random-Forest,Friday,Wednesday,DOS GOLDENEYE,10293,500000,450324,0.0,0.0,0.0
Single-Day-Transfer,All-features,Random-Forest,Friday,Wednesday,DOS HULK,231073,500000,671104,99.2948,0.975,1.9311
Single-Day-Transfer,All-features,Random-Forest,Friday,Wednesday,DOS SLOWHTTPTEST,5499,500000,445530,0.0,0.0,0.0
Single-Day-Transfer,All-features,Random-Forest,Friday,Wednesday,DOS SLOWLORIS,5796,500000,445827,0.0,0.0,0.0
Single-Day-Transfer,All-features,Random-Forest,Friday,Wednesday,HEARTBLEED,11,500000,440042,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Friday,Thursday,INFILTRATION,36,500000,456788,0.0019,2.7778,0.0037
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Friday,Thursday,WEB ATTACK - BRUTE FORCE,1507,500000,458259,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Friday,Thursday,WEB ATTACK - SQL INJECTION,21,500000,456773,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Friday,Thursday,WEB ATTACK - XSS,652,500000,457404,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Random-Forest,Friday,Thursday,INFILTRATION,36,500000,456788,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Random-Forest,Friday,Thursday,WEB ATTACK - BRUTE FORCE,1507,500000,458259,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Random-Forest,Friday,Thursday,WEB ATTACK - SQL INJECTION,21,500000,456773,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Random-Forest,Friday,Thursday,WEB ATTACK - XSS,652,500000,457404,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Friday,Tuesday,FTP-PATATOR,7938,500000,440012,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Friday,Tuesday,SSH-PATATOR,5897,500000,437971,0.3169,0.3222,0.3195
Single-Day-Transfer,Reduced-Features,Random-Forest,Friday,Tuesday,FTP-PATATOR,7938,500000,440012,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Random-Forest,Friday,Tuesday,SSH-PATATOR,5897,500000,437971,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Friday,Wednesday,DOS GOLDENEYE,10293,500000,450324,35.9461,30.341,32.9066
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Friday,Wednesday,DOS HULK,231073,500000,671104,93.9626,37.4821,53.5878
