Experiment,Feature-Set,Model,Train-Day,Test-Day,Train-Rows,Test-Rows,Accuracy,Precision,Recall,F1
Single-Day-Transfer,All-features,Logistic-Regression,Friday,Monday,500000,529918,98.9336,0.0,0.0,0.0
Single-Day-Transfer,All-features,Random-Forest,Friday,Monday,500000,529918,99.9985,0.0,0.0,0.0
Single-Day-Transfer,All-features,Logistic-Regression,Friday,Thursday,500000,458968,87.8185,0.0019,0.0451,0.0036
Single-Day-Transfer,All-features,Random-Forest,Friday,Thursday,500000,458968,92.5019,0.0062,0.0903,0.0116
Single-Day-Transfer,All-features,Logistic-Regression,Friday,Tuesday,500000,445909,95.6175,0.3307,0.1373,0.1941
Single-Day-Transfer,All-features,Random-Forest,Friday,Tuesday,500000,445909,96.8971,0.0,0.0,0.0
Single-Day-Transfer,All-features,Logistic-Regression,Friday,Wednesday,500000,692703,76.2779,94.4944,37.1288,53.3107
Single-Day-Transfer,All-features,Random-Forest,Friday,Wednesday,500000,692703,63.8344,99.3578,0.8572,1.6998
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Friday,Monday,500000,529918,98.8725,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Random-Forest,Friday,Monday,500000,529918,99.9991,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Friday,Thursday,500000,458968,87.7578,0.0019,0.0451,0.0036
Single-Day-Transfer,Reduced-Features,Random-Forest,Friday,Thursday,500000,458968,92.4988,0.0062,0.0903,0.0116
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Friday,Tuesday,500000,445909,95.5146,0.3063,0.1373,0.1896
Single-Day-Transfer,Reduced-Features,Random-Forest,Friday,Tuesday,500000,445909,96.8971,0.0,0.0,0.0
Single-Day-Transfer,Reduced-Features,Logistic-Regression,Friday,Wednesday,500000,692703,76.1328,94.0988,36.8806,52.9919
Single-Day-Transfer,Reduced-Features,Random-Forest,Friday,Wednesday,500000,692703,63.8206,99.3756,0.8188,1.6243
Single-Day-Transfer,All-features,Logistic-Regression,Thursday,Friday,8864,703245,68.3265,79.9996,30.5417,44.2065
Single-Day-Transfer,All-features,Random-Forest,Thursday,Friday,8864,703245,58.3185,2.2076,0.0336,0.0661
Single-Day-Transfer,All-features,Logistic-Regression,Thursday,Monday,8864,529918,96.4878,0.0,0.0,0.0
Single-Day-Transfer,All-features,Random-Forest,Thursday,Monday,8864,529918,99.8805,0.0,0.0,0.0
Single-Day-Transfer,All-features,Logistic-Regression,Thursday,Tuesday,8864,445909,95.678,39.0511,70.0831,50.1552
